file algorithm pattern num_shifts num_comparisons prep_cost
436.htm KMP ill 2728 2885 3
1632.htm KMP miss 5393 5516 4
1714.htm KMP for 5430 5539 3
872.htm KMP responsibility 5389 5640 14
29.htm KMP mexico 4648 4738 6
794.htm KMP bill 1620 1653 4
761.htm KMP very 6049 6088 4
1549.htm KMP said 6030 6374 4
797.htm naive move 3818 3818 0
499.htm naive pipe 3502 3502 0
527.htm naive into 6566 6566 0
1671.htm naive ass 86292 86292 0
1678.htm naive form 3126 3126 0
1368.htm naive the 766 766 0
683.htm naive water 1330 1330 0
1931.htm naive risk 4200 4200 0
1474.htm naive legal 6586 6586 0
689.htm naive week 4754 4754 0
885.htm naive clean 3199 3199 0
536.htm naive not 5222 5222 0
436.htm naive own 2879 2879 0
1632.htm naive ball 5476 5476 0
1714.htm naive life 5628 5628 0
872.htm naive care 5513 5513 0
29.htm naive older 4929 4929 0
794.htm naive 11 1628 1628 0
761.htm naive flow 6179 6179 0
1549.htm naive over 6440 6440 0
797.htm finite_automata move 3737 3737 64
499.htm finite_automata pipe 3429 3429 52
527.htm finite_automata into 6094 6094 64
1671.htm finite_automata ass 81003 81003 24
1678.htm finite_automata form 3065 3065 64
1368.htm finite_automata the 704 704 33
683.htm finite_automata water 1289 1289 110
1931.htm finite_automata risk 3983 3983 64
1474.htm finite_automata legal 6252 6252 92
689.htm finite_automata week 4663 4663 51
885.htm finite_automata clean 3102 3102 110
536.htm finite_automata not 4961 4961 33
436.htm finite_automata own 2728 2728 33
1632.htm finite_automata ball 5393 5393 51
1714.htm finite_automata life 5430 5430 64
872.htm finite_automata care 5389 5389 64
29.htm finite_automata older 4648 4648 110
794.htm finite_automata 11 1620 1620 6
761.htm finite_automata flow 6049 6049 64
1549.htm finite_automata over 6030 6030 64
797.htm KMP move 3737 3809 4
499.htm KMP pipe 3429 3489 5
527.htm KMP into 6094 6464 4
1671.htm KMP ass 81003 85789 3
1678.htm KMP form 3065 3114 4
1368.htm KMP the 704 737 3
683.htm KMP water 1289 1308 5
1931.htm KMP risk 3983 4169 4
1474.htm KMP legal 6252 6545 5
689.htm KMP week 4663 4735 4
885.htm KMP clean 3102 3175 5
536.htm KMP not 4961 5206 3
436.htm KMP own 2728 2873 3
1632.htm KMP ball 5393 5461 4
1714.htm KMP life 5430 5603 4
872.htm KMP care 5389 5502 4
29.htm KMP older 4648 4911 5
794.htm KMP 11 1620 1626 2
761.htm KMP flow 6049 6164 4
1549.htm KMP over 6030 6412 4
797.htm naive government 3804 3804 0
499.htm naive cap 3514 3514 0
527.htm naive shrimp 6465 6465 0
1671.htm naive dec 83448 83448 0
1678.htm naive comm 3166 3166 0
